6
99431
100
0
14	1	15
8	1	15
11	1	14
12	3	15
4	3	15
17	3	15
15	1	13
9	2	13
5	2	13
6	1	12
7	2	12
6	2	11
3	6	15
4	3	12
20	1	9
16	6	14
16	3	11
8	5	13
4	3	11
3	5	12
6	5	12
9	1	8
10	2	8
9	2	8
1	9	15
4	6	12
6	3	8
20	3	8
7	4	9
14	3	8
13	8	13
12	1	6
11	1	6
17	9	14
11	5	10
11	8	12
13	8	12
18	4	8
15	7	11
14	2	5
2	10	13
15	3	6
19	4	7
15	3	6
2	8	11
2	3	6
20	1	4
9	2	5
16	5	8
1	7	10
16	3	5
19	2	4
8	9	11
7	10	12
18	3	5
12	9	11
2	3	5
4	2	3
12	6	7
16	9	10
9	3	4
8	9	10
18	10	11
7	7	8
20	10	11
9	3	4
9	10	11
5	10	10
14	8	8
11	4	4
18	9	9
14	3	2
5	4	3
2	8	7
15	9	8
18	4	2
4	10	8
14	5	3
3	5	3
20	10	8
2	5	3
12	7	4
4	8	5
20	7	4
14	5	1
20	6	2
11	5	1
18	7	2
16	7	2
15	9	4
4	10	5
20	7	1
6	9	3
8	9	3
7	7	1
10	8	1
16	9	2
9	10	3
5	9	2
17	10	2
