2
4431979
500
0
5	2	15
19	2	15
6	2	15
13	2	15
17	1	14
1	2	14
15	1	13
5	1	13
14	2	14
20	2	14
8	1	13
8	3	15
13	2	14
5	3	15
17	3	14
16	4	15
17	1	12
12	3	14
20	2	13
17	3	14
18	4	15
8	3	14
3	4	15
12	2	13
9	2	13
8	3	14
16	3	14
5	3	13
20	2	12
6	4	14
10	3	13
16	2	12
17	5	15
14	2	12
11	4	14
1	3	13
16	5	15
11	1	11
3	3	13
12	3	13
8	4	14
1	2	12
6	4	14
7	5	15
20	4	14
14	3	13
18	3	13
15	3	13
12	1	11
10	4	14
10	2	12
11	1	11
18	1	11
5	1	10
1	5	14
2	6	15
7	5	14
17	1	10
4	6	15
17	4	13
19	1	10
7	3	12
3	1	10
10	1	10
7	4	13
3	4	13
12	5	14
18	1	10
13	3	12
17	3	12
11	3	12
12	5	13
9	2	10
10	4	12
8	7	15
17	2	10
18	3	11
14	1	9
15	7	15
12	7	15
8	5	13
14	4	12
7	7	15
20	4	12
16	5	13
4	1	9
8	4	12
5	7	15
14	4	12
17	5	13
7	2	10
10	3	11
5	7	15
12	4	12
15	7	15
4	6	14
7	1	8
19	8	15
4	8	15
2	4	11
5	3	10
20	7	14
16	6	13
16	2	9
3	1	8
14	5	12
13	4	11
10	4	11
13	2	9
15	7	14
17	2	9
6	5	12
20	6	13
3	5	12
11	8	15
20	3	10
5	2	9
18	2	9
2	5	12
18	7	14
5	1	8
7	2	9
15	5	12
15	1	8
1	8	15
9	3	10
6	2	8
13	3	9
11	5	11
5	2	8
5	4	10
10	9	15
6	5	11
5	2	8
10	9	15
19	7	13
20	5	11
4	8	14
12	2	8
10	5	11
20	7	13
12	5	11
10	6	12
12	4	10
1	2	8
3	3	9
19	6	12
1	8	14
7	9	15
13	6	12
13	7	13
19	5	11
1	3	9
13	2	8
1	8	13
11	1	6
11	6	11
19	3	8
14	10	15
16	1	6
2	9	14
10	4	9
12	1	6
20	2	7
16	4	9
15	7	12
14	3	8
10	8	13
8	1	6
18	2	7
11	2	7
3	8	13
18	4	9
11	7	12
9	3	8
15	1	6
18	7	12
13	7	12
1	7	12
15	7	12
19	9	14
6	7	12
15	7	12
13	9	13
3	1	5
17	2	6
3	4	8
11	3	7
9	3	7
7	3	7
3	6	10
17	10	14
14	5	9
16	2	6
6	8	12
7	7	11
13	8	12
2	7	11
4	4	8
9	6	10
14	6	10
17	8	12
11	3	7
3	10	14
15	2	6
8	9	13
14	6	10
12	9	13
1	1	5
4	6	10
8	10	13
13	5	8
13	1	4
9	10	13
9	9	12
6	4	7
15	3	6
19	9	12
4	1	4
5	9	12
11	5	8
9	7	10
10	9	12
17	6	9
17	10	13
9	5	8
20	9	12
19	2	5
16	9	12
20	3	6
9	4	7
9	7	10
18	9	12
11	8	11
6	2	5
3	10	13
7	2	5
16	7	10
13	9	12
7	4	7
14	5	8
17	7	10
13	5	8
5	1	4
4	3	6
13	3	6
8	1	3
15	1	3
5	8	10
14	3	5
5	1	3
11	3	5
1	2	4
10	7	9
1	8	10
18	10	12
10	2	4
20	7	9
15	7	9
20	10	12
16	10	12
7	9	11
20	10	12
18	9	11
16	3	5
3	2	4
10	1	3
3	10	12
4	3	5
10	1	3
14	4	6
17	10	12
20	7	9
14	8	10
20	9	11
17	6	8
15	10	12
20	3	5
18	3	4
2	9	10
8	7	8
4	3	4
3	6	7
8	4	5
2	5	6
15	4	5
18	2	3
9	1	2
2	2	3
9	2	3
19	9	10
12	8	9
20	6	7
16	4	5
20	8	9
19	2	3
11	10	11
15	4	5
11	4	5
19	10	11
19	5	6
13	9	10
2	6	7
11	4	4
2	4	4
15	4	4
16	7	7
14	2	2
6	1	1
20	4	4
8	7	7
8	4	4
19	4	4
20	6	6
10	1	1
7	7	7
12	1	1
8	7	7
8	9	9
6	6	6
5	9	9
9	7	7
3	6	6
7	5	5
17	7	7
3	4	4
17	5	5
18	9	9
11	1	1
17	5	5
4	10	10
8	8	8
7	6	6
12	4	4
6	6	6
2	7	6
15	5	4
20	10	9
16	4	3
20	4	3
4	8	7
5	2	1
16	10	9
14	6	5
7	8	7
3	5	4
3	7	6
6	9	8
11	5	4
19	6	5
11	9	8
13	2	1
11	10	9
11	4	3
15	4	3
8	8	7
3	6	5
7	3	2
13	6	5
19	10	9
15	6	5
10	9	8
16	2	1
16	6	5
13	3	2
6	5	4
10	7	6
7	10	9
18	3	2
4	5	4
12	3	2
2	9	8
4	5	4
20	4	3
12	10	8
2	5	3
8	7	5
15	5	3
3	3	1
7	8	6
9	5	3
4	8	6
19	7	5
17	7	5
12	6	4
7	3	1
14	5	3
6	8	6
17	4	2
2	6	4
5	5	3
15	10	8
2	7	5
8	6	4
3	3	1
16	4	2
10	10	8
6	3	1
20	3	1
9	4	2
