4
98311
100
0
17	1	15
11	1	14
1	2	15
7	3	15
17	4	15
11	2	13
7	2	12
14	2	12
11	3	13
9	3	13
8	4	14
14	3	13
16	3	13
13	3	12
10	4	12
10	1	9
20	5	13
19	5	12
4	2	9
8	8	15
9	2	9
18	3	10
7	4	11
15	8	15
20	1	8
19	2	8
17	3	9
8	6	12
17	3	9
5	7	13
14	3	9
13	1	7
13	1	6
13	6	11
7	8	13
12	7	11
14	9	13
14	1	5
7	3	7
8	7	11
2	1	5
1	8	12
3	7	10
19	4	7
1	10	13
13	10	13
3	6	9
7	2	5
10	2	5
12	9	12
8	3	6
1	6	8
15	9	11
20	3	5
12	9	11
16	4	6
19	10	12
9	1	2
5	4	5
5	5	6
2	1	2
4	1	2
10	10	10
1	5	5
20	5	5
16	3	3
6	1	1
4	2	2
16	3	3
15	4	4
4	7	6
13	4	3
14	5	4
9	7	6
16	8	7
17	2	1
20	4	3
10	5	3
16	6	4
17	9	7
12	4	2
7	6	4
12	4	2
7	6	3
19	9	6
20	6	3
7	4	1
2	6	2
6	5	1
17	9	5
8	7	2
5	7	1
3	9	3
9	8	2
4	8	2
15	10	3
14	10	3
13	9	2
12	10	2
2	9	1
