4
153556
100
0
4	2	9	
1	2	15	
12	4	2	
19	4	7	
15	4	4	
17	1	15	
10	1	9	
11	2	13	
19	5	12	
5	7	13	
12	9	12	
7	8	13	
9	1	2	
16	6	4	
4	2	2	
7	3	15	
8	3	6	
14	9	13	
14	2	12	
2	6	2	
11	1	14	
13	9	2	
7	4	1	
11	3	13	
7	3	7	
8	6	12	
19	9	6	
1	5	5	
7	4	11	
6	5	1	
20	5	5	
10	4	12	
12	9	11	
13	4	3	
16	3	3	
8	7	11	
2	1	2	
3	6	9	
20	1	8	
4	1	2	
2	9	1	
9	7	6	
3	7	10	
9	8	2	
15	8	15	
6	1	1	
17	4	15	
19	10	12	
2	1	5	
9	3	13	
16	3	3	
5	7	1	
14	3	9	
12	10	2	
7	2	12	
12	7	11	
14	3	13	
10	2	5	
14	10	3	
1	6	8	
1	8	12	
13	6	11	
13	3	12	
5	4	5	
7	6	4	
1	10	13	
17	3	9	
3	9	3	
7	2	5	
13	1	7	
15	9	11	
13	10	13	
8	4	14	
10	5	3	
7	6	3	
12	4	2	
16	3	13	
18	3	10	
19	2	8	
17	9	7	
8	7	2	
14	5	4	
16	4	6	
10	10	10	
20	3	5	
8	8	15	
20	4	3	
14	1	5	
17	9	5	
16	8	7	
5	5	6	
13	1	6	
17	3	9	
20	6	3	
4	7	6	
4	8	2	
17	2	1	
20	5	13	
9	2	9	
15	10	3	
