6
145822
100
0
10	2	8	
14	5	1	
9	2	5	
20	7	4	
15	1	13	
2	8	11	
4	3	15	
5	4	3	
6	9	3	
14	2	5	
9	3	4	
13	8	12	
20	1	4	
14	5	3	
9	2	13	
11	4	4	
20	3	8	
7	7	8	
18	4	2	
14	1	15	
17	9	14	
11	5	1	
15	3	6	
8	5	13	
11	8	12	
12	7	4	
18	4	8	
6	2	11	
4	3	12	
15	7	11	
15	9	8	
11	1	14	
7	2	12	
4	3	11	
16	6	14	
14	8	8	
14	3	2	
7	4	9	
3	5	3	
12	1	6	
12	9	11	
18	10	11	
4	2	3	
16	7	2	
11	5	10	
2	3	5	
15	3	6	
4	6	12	
9	10	3	
15	9	4	
8	9	3	
7	10	12	
5	9	2	
11	1	6	
7	7	1	
20	6	2	
16	5	8	
12	3	15	
13	8	13	
17	3	15	
2	10	13	
9	10	11	
1	9	15	
5	10	10	
18	7	2	
8	1	15	
6	1	12	
9	2	8	
19	2	4	
3	5	12	
1	7	10	
2	8	7	
17	10	2	
4	10	5	
5	2	13	
8	9	10	
20	10	11	
18	9	9	
3	6	15	
2	5	3	
20	10	8	
2	3	6	
14	3	8	
6	3	8	
18	3	5	
16	9	2	
10	8	1	
4	10	8	
8	9	11	
20	1	9	
9	3	4	
4	8	5	
16	3	5	
19	4	7	
6	5	12	
12	6	7	
16	9	10	
9	1	8	
16	3	11	
20	7	1	
